Elements, Runs, Algorithm, Variant, Elapsed time(ms), Message
100000, 1, quick sort, reversed, 13.000, "100000 elements; 1 runs - Algorithm: quick sort, Variant: reversed, Elapsed time: 13.000000 ms"
100000, 1, quick sort, partially sorted 10%, 9.000, "100000 elements; 1 runs - Algorithm: quick sort, Variant: partially sorted 10%, Elapsed time: 9.000000 ms"
100000, 1, quick sort, partially sorted 30%, 8.000, "100000 elements; 1 runs - Algorithm: quick sort, Variant: partially sorted 30%, Elapsed time: 8.000000 ms"
100000, 1, quick sort, partially sorted 50%, 8.000, "100000 elements; 1 runs - Algorithm: quick sort, Variant: partially sorted 50%, Elapsed time: 8.000000 ms"
100000, 1, quick sort, partially sorted 70%, 9.000, "100000 elements; 1 runs - Algorithm: quick sort, Variant: partially sorted 70%, Elapsed time: 9.000000 ms"
100000, 1, quick sort, partially sorted 90%, 9.000, "100000 elements; 1 runs - Algorithm: quick sort, Variant: partially sorted 90%, Elapsed time: 9.000000 ms"
1000000, 1, quick sort, random, 198.000, "1000000 elements; 1 runs - Algorithm: quick sort, Variant: random, Elapsed time: 198.000000 ms"
1000000, 1, quick sort, reversed, 137.000, "1000000 elements; 1 runs - Algorithm: quick sort, Variant: reversed, Elapsed time: 137.000000 ms"
1000000, 1, quick sort, partially sorted 10%, 68.000, "1000000 elements; 1 runs - Algorithm: quick sort, Variant: partially sorted 10%, Elapsed time: 68.000000 ms"
1000000, 1, quick sort, partially sorted 30%, 69.000, "1000000 elements; 1 runs - Algorithm: quick sort, Variant: partially sorted 30%, Elapsed time: 69.000000 ms"
1000000, 1, quick sort, partially sorted 50%, 69.000, "1000000 elements; 1 runs - Algorithm: quick sort, Variant: partially sorted 50%, Elapsed time: 69.000000 ms"
1000000, 1, quick sort, partially sorted 70%, 68.000, "1000000 elements; 1 runs - Algorithm: quick sort, Variant: partially sorted 70%, Elapsed time: 68.000000 ms"
1000000, 1, quick sort, partially sorted 90%, 70.000, "1000000 elements; 1 runs - Algorithm: quick sort, Variant: partially sorted 90%, Elapsed time: 70.000000 ms"
